ASIN,Product_ID,Product_Group,Sales_Rank,Estimated_Number_of_Sales,Purchase_Price,Buy_Box_Landed,Low_New_Fba_Price,Low_New_Mfn_Price,Sell_Price,Fulfillment_Subtotal,Cost_Sub_Total,Inbound_Shipping_Estimate,Package_Weight,Package_Height,Package_Length,Package_Width,Package_Quantity,Total_Offers,New_FBA_Num_Offers,New_MFN_Num_Offers,Min,Mult,UM,CA,BWOT,Class
B002RL99CA,96069180265,Lawn and Garden,29556,60,1.5,8.99,8.99,3,8.99,2.5,3.85,0.1,0.25,0.3,5.5,4,1,2,2,0,4,4,EA,GG,SON,No        
B002RL99CU,96069180272,Lawn and Garden,29556,60,1.5,4.71,4.71,3,4.71,2.5,3.21,0.12,0.3,0.3,5.4,3.6,1,7,7,0,4,4,EA,GG,SON,No        
B002RL99DE,96069180289,Lawn and Garden,29556,60,1.5,6.65,6.65,3,6.65,2.5,3.5,0.1,0.25,0.4,5.5,3.9,1,2,2,0,4,4,EA,GG,SON,No        
B002RL99DO,96069180296,Lawn and Garden,29556,60,1.5,5,5,3,5,2.5,3.25,0.12,0.3,0.3,5.4,3.6,1,2,2,0,4,4,EA,GG,SON,No        
B003CLS15K,96069602903,Lawn and Garden,101295,5,18.5,37,37,39.94,39.94,5.51,11.5,0.92,2.3,2.7,14.1,6,1,1,0,1,1,1,EA,GG,SON,No        
B003H538WC,96069634638,Lawn and Garden,132788,5,11,29.99,22,29.99,29.99,5.98,10.48,0.82,2.05,4.4,12.6,8.1,1,3,0,3,2,1,EA,GG,SON,No        
B0041IVK8S,96069668527,Home Garden,12040635,5,2,33.94,4,33.94,33.94,3.33,8.42,0.08,0.2,1.69,9.21,4.02,1,1,0,1,24,24,EA,GG,SON,No        
B00481KCJQ,96069129035,Lawn and Garden,382782,5,10.5,21,21,21,21,5.47,5.47,0.64,1.6,2.6,12.4,9.1,1,0,0,0,3,1,EA,GG,SON,No        
B00481M6OA,96069634669,Lawn and Garden,132788,5,11,22,22,22,22,5.47,5.47,0.62,1.55,4.5,12.8,7.8,1,0,0,0,2,1,EA,GG,SON,No        
B00495Y1FW,96069602064,Lawn and Garden,76078,30,50,88.11,88.11,100,88.11,12.05,25.27,2.72,6.8,3.4,37.8,10.3,1,1,1,0,1,1,EA,GG,SON,No        
B00495Y1G6,96069602200,Lawn and Garden,76078,30,50,100,100,158.89,158.89,11.62,35.45,2.74,6.85,3,38,10.1,1,1,0,1,1,1,EA,GG,SON,No        
B00495Y1GQ,96069602354,Lawn and Garden,76078,30,50,80.27,80.27,100,80.27,11.64,23.68,2.8,7,3.1,37.9,10.3,1,2,2,0,1,1,EA,GG,SON,No        
B00495Y1HU,96069129721,Lawn and Garden,579825,5,8.5,17,17,17,17,5.84,8.39,1.38,3.45,1,11.6,8.5,1,2,2,0,2,1,EA,GG,SON,No        
B00495Y1IE,96069635215,Lawn and Garden,994766,5,6,12,12,12,12,5.47,5.47,1.06,2.65,2,18,6,1,0,0,0,4,4,EA,GG,SON,No        
B00495Y1IO,96069602040,Lawn and Garden,76078,30,52,84.99,84.99,150.11,84.99,11.16,23.91,3.02,7.55,3.2,28.1,9.8,1,2,1,1,1,1,EA,GG,SON,No        
B00495Y1IY,96069635222,Home Garden,3208830,5,6,12,12,12,12,5.47,5.47,1.1,2.75,2.9,18,6,1,0,0,0,4,4,EA,GG,SON,No        
B00495Y1J8,96069602187,Lawn and Garden,76078,30,52,109.76,109.76,104,109.76,11.16,27.62,3,7.5,3.2,28.1,9.8,1,1,1,0,1,1,EA,GG,SON,No        
B00495Y1JI,96069635239,Lawn and Garden,347858,5,6,8.81,8.81,12,8.81,3.5,4.82,0.28,0.7,1,17.6,3.4,1,2,2,0,4,4,EA,GG,SON,No        
B00495Y1JS,96069602330,Lawn and Garden,76078,30,52,94.99,94.99,104,94.99,11.14,25.39,3.04,7.6,3.1,28.4,9.1,1,1,1,0,1,1,EA,GG,SON,No        
B00495Y1K2,96069635246,Lawn and Garden,1092510,5,6,12,12,12,12,5.47,5.47,1.04,2.6,3.1,18,6,1,0,0,0,4,4,EA,GG,SON,No        
B00495Y1KM,96069602033,Lawn and Garden,76078,30,35,56,56,102.51,56,9.95,18.35,1.74,4.35,2.7,24,9.5,1,2,1,1,1,1,EA,GG,SON,No        
B00495Y1KW,96069602170,Lawn and Garden,76078,30,35,56.99,56.99,102.69,56.99,10.37,18.92,1.78,4.45,3.3,24.1,9.4,1,2,1,1,1,1,EA,GG,SON,No        
