ASIN Product_ID Product_Group Sales_Rank Estimated_Number_of_Sales Purchase_Price Buy_Box_Landed Low_New_Fba_Price Low_New_Mfn_Price Sell_Price Fulfillment_Subtotal Cost_Sub_Total Inbound_Shipping_Estimate Package_Weight Package_Height Package_Length Package_Width Package_Quantity Total_Offers New_FBA_Num_Offers New_MFN_Num_Offers Min Mult UM CA BWOT Class 
B002RL99DO 96069180296 Lawn_and_Garden 29556 60 1.5 5 5 3 5 2.5 3.25 0.12 0.3 0.3 5.4 3.6 1 2 2 0 4 4 EA GG SON No 
B003H538WC 96069634638 Lawn_and_Garden 132788 5 11 29.99 22 29.99 29.99 5.98 10.48 0.82 2.05 4.4 12.6 8.1 1 3 0 3 2 1 EA GG SON No 
B00481KCJQ 96069129035 Lawn_and_Garden 382782 5 10.5 21 21 21 21 5.47 5.47 0.64 1.6 2.6 12.4 9.1 1 0 0 0 3 1 EA GG SON No 
B00481M6OA 96069634669 Lawn_and_Garden 132788 5 11 22 22 22 22 5.47 5.47 0.62 1.55 4.5 12.8 7.8 1 0 0 0 2 1 EA GG SON No 
B00495Y1FW 96069602064 Lawn_and_Garden 76078 30 50 88.11 88.11 100 88.11 12.05 25.27 2.72 6.8 3.4 37.8 10.3 1 1 1 0 1 1 EA GG SON No 
B00495Y1G6 96069602200 Lawn_and_Garden 76078 30 50 100 100 158.89 158.89 11.62 35.45 2.74 6.85 3 38 10.1 1 1 0 1 1 1 EA GG SON No 
B00495Y1IO 96069602040 Lawn_and_Garden 76078 30 52 84.99 84.99 150.11 84.99 11.16 23.91 3.02 7.55 3.2 28.1 9.8 1 2 1 1 1 1 EA GG SON No 
B00495Y1MK 96069602316 Lawn_and_Garden 76078 30 26.5 53 53 53 53 5.47 5.47 1.24 3.1 3.1 17 7.8 1 0 0 0 1 1 EA GG SON No 
B00495Y1P2 96069602880 Lawn_and_Garden 534388 5 18.5 42.99 37 42.98 42.99 5.51 11.96 0.9 2.25 2.6 14.2 6.3 1 5 0 5 1 1 EA GG SON No 
B004QPKL9A 96069180357 Lawn_and_Garden 557640 5 28.5 51.08 57 51.08 51.08 9.54 17.2 1.32 3.3 3 20.5 8 1 2 0 2 1 1 EA GG SON No 
